latitude,longitude,frequency
42.304,-71.122,1173
42.456,-70.974,2
42.297000000000004,-71.202,3
42.301,-71.086,954
42.403,-71.124,16
42.32,-71.058,2
42.258,-71.282,2
42.418,-71.157,31
43.09,-71.455,1
42.352000000000004,-71.081,261
42.4,-71.133,3
42.353,-71.087,240
42.335,-71.037,95
42.392,-71.11,25
42.331,-71.185,11
42.365,-71.06700000000001,857
42.258,-71.113,219
42.414,-71.049,12
42.342,-71.307,8
42.302,-71.10000000000001,3
42.288000000000004,-71.053,75
42.33,-71.04,351
42.267,-71.224,1
42.381,-71.069,13
42.462,-70.964,12
42.272,-71.049,1
42.364000000000004,-71.061,1313
42.342,-71.105,14
42.319,-71.048,8
42.621,-71.3,3
42.322,-71.119,20
42.573,-71.221,1
42.368,-71.068,126
42.457,-70.93900000000001,11
42.355000000000004,-71.048,36
42.265,-71.298,1
42.373,-71.10000000000001,217
42.392,-71.113,94
42.411,-71.143,6
42.359,-71.057,8323
42.361000000000004,-71.144,26
42.343,-71.08200000000001,5
42.374,-71.114,60
42.396,-71.123,540
42.36,-71.13,17
42.347,-71.129,41
42.317,-71.05,30
43.097,-71.452,1
42.429,-71.02,19
42.429,-71.031,11
42.628,-71.31,1
42.305,-71.122,1171
42.527,-71.16,3
42.354,-71.066,900
42.437,-71.103,1
42.353,-71.136,265
42.412,-71.149,11
42.277,-71.143,1211
42.42,-71.143,7
42.352000000000004,-71.07000000000001,3040
42.341,-71.297,29
42.336,-71.15,121
42.384,-71.115,196
42.338,-71.039,79
42.374,-71.111,1
42.346000000000004,-71.118,21
42.606,-71.287,1
42.32,-71.117,81
42.341,-71.239,5
42.285000000000004,-71.143,2
42.375,-71.156,14
42.32,-71.123,714
42.335,-71.039,67
42.336,-71.19500000000001,3
42.288000000000004,-71.055,308
42.352000000000004,-71.08,286
42.49,-71.134,1
42.451,-71.048,4
42.294000000000004,-71.138,403
42.329,-71.143,19
42.388,-71.102,6
42.459,-71.049,1
42.33,-71.209,14
42.337,-71.111,970
42.477000000000004,-70.883,12
42.306,-71.059,31
42.289,-71.134,3
42.297000000000004,-71.103,1271
42.357,-71.05,2421
42.364000000000004,-71.107,14
42.33,-71.032,988
42.466,-71.147,3
42.252,-71.266,2
42.396,-71.14,12
42.275,-71.093,8
42.295,-71.051,8
42.378,-71.061,30
42.299,-71.122,1
42.338,-71.16,4
42.304,-71.09,4
42.245,-71.126,178
42.32,-71.08200000000001,19
42.31,-71.038,993
42.288000000000004,-71.047,130
42.367000000000004,-71.053,1023
42.364000000000004,-71.12,91
42.300000000000004,-71.101,350
42.414,-71.137,2
42.317,-71.049,46
42.35,-71.127,126
42.394,-71.122,148
42.392,-71.07000000000001,20
42.373,-71.208,16
42.425000000000004,-71.183,28
42.323,-71.053,22
42.573,-71.223,2
42.379,-71.126,7
42.388,-71.141,17
42.349000000000004,-71.156,30
42.329,-71.22500000000001,37
42.331,-71.098,25
42.332,-71.182,14
42.289,-71.126,46
42.488,-71.153,3
42.35,-71.083,1914
42.347,-71.09,58
42.348,-71.136,85
42.324,-71.34,12
42.329,-71.138,24
42.446,-71.046,76
42.32,-71.093,1
42.353,-71.107,776
42.425000000000004,-71.068,16
42.325,-71.113,1
42.34,-71.239,5
42.337,-71.053,1
42.418,-71.045,2
42.589,-71.278,2
42.241,-71.126,14
42.345,-71.042,826
42.372,-71.06400000000001,22
42.288000000000004,-71.068,35
42.356,-71.075,6580
42.532000000000004,-71.16,1
42.357,-71.071,1373
42.26,-71.109,119
42.354,-71.06,1644
42.358000000000004,-71.052,2952
42.35,-71.148,10
42.265,-71.09400000000001,552
42.773,-71.224,1
42.384,-71.111,307
42.427,-71.06,8
42.346000000000004,-71.089,69
42.359,-71.074,779
42.348,-71.103,7
42.341,-71.096,140
42.387,-71.086,1
42.365,-71.093,305
42.364000000000004,-71.185,63
42.329,-71.098,2
42.368,-71.07600000000001,384
42.359,-71.156,72
42.286,-71.142,34
42.309,-71.107,1
42.37,-71.105,95
42.295,-71.137,2
42.337,-71.024,125
42.417,-71.129,1
42.34,-71.24,22
42.381,-71.087,2
42.43,-71.048,32
42.223,-71.032,1
42.35,-71.124,426
42.348,-71.108,12
42.354,-71.128,20
42.361000000000004,-71.071,7763
42.357,-71.163,49
42.285000000000004,-71.041,30
42.438,-71.06700000000001,6
42.341,-71.107,445
42.333,-71.19800000000001,18
42.334,-71.135,5
42.431,-71.056,4
42.472,-70.892,6
42.35,-71.08,1060
42.43,-71.047,33
42.434,-70.995,10
42.402,-71.139,24
42.421,-71.169,18
42.281,-71.045,121
42.463,-71.102,1
42.369,-71.086,50
42.495,-71.156,3
42.345,-71.053,83
42.243,-71.031,1
42.339,-71.035,43
42.333,-71.324,6
42.399,-71.119,23
42.348,-71.124,18
42.353,-71.124,11
42.348,-71.075,149
42.4,-71.135,26
42.335,-71.04,93
42.345,-71.09400000000001,291
42.333,-71.135,26
42.386,-71.117,350
42.337,-71.044,104
42.364000000000004,-71.083,8
42.352000000000004,-71.06,259
42.459,-70.96900000000001,9
42.337,-71.04,44
42.331,-71.137,35
42.257,-71.264,3
42.341,-71.08200000000001,85
42.366,-71.052,1304
42.339,-71.152,25
42.351,-71.071,1655
42.326,-71.359,44
42.243,-71.135,3
42.336,-71.224,13
42.374,-71.212,1
42.338,-71.212,14
42.349000000000004,-71.15,56
42.337,-71.215,10
42.292,-71.114,235
42.358000000000004,-71.169,38
42.693,-71.162,1
